transactionID,is_fraud
854570EF-1E5F-4BF5-8E63-28B2C90A0B97,0
390D2787-E82F-4A86-83F1-EF1D34F1B146,0
E8E57E26-BE99-4CC9-9CBA-16903B1E8DF3,0
EF9429E1-58FB-4B2D-9589-47F8EE41CDC4,0
6C0E80FA-6988-4823-B0F5-BA49EBCBD99E,0
213874FC-3122-4F6A-A63A-BA0B414B1922,0
4CA29FBF-4D85-4FB9-A068-B0BE7E87E670,0
B015BD98-1787-40BC-842A-A37D3FA00948,0
F6A5A0E6-A795-4386-8C43-FB5BFD7BE5B4,0
AA9FBEEF-C544-469D-80D3-B422665935B3,0
5128DCB0-2AB6-4DA9-B9B8-578F251D956B,0
71A3589D-BCE5-44DB-B702-D1545E06448D,0
18C5C305-EB29-4F04-83E7-1E8480892B7C,0
ECB2828B-836F-4707-BF56-2FFFDA7EC100,0
4298D815-226A-4999-8C23-4165BFDB243D,0
C7E6BDD0-03ED-4A02-957F-29E58AABA573,0
3D85C369-8E21-4FCD-AE95-BD1BF5E690C7,0
6946E2AF-B69E-4133-8068-169E9648D7EF,0
DDE5ADF7-9647-41F4-B333-FC36E461608D,0
2B8E2929-2211-4F36-97A0-1371CF43701C,0
6475B975-6757-4EED-AADF-D1475427A0F5,0
3221415E-CC8F-4AC3-A4FA-E60D465CE874,0
205A21E7-8C37-4823-B2F4-DEAF11CDA0E9,0
668885B1-6DD0-4DB5-8913-BCD199659937,0
6CF38FB1-1673-4B82-AFC8-B70868977642,0
09876892-EC92-49DF-B987-6EBF1674B1C0,0
FBD1A56C-278B-4513-846D-47ED90674F9A,0
E0FB9C83-7553-4B1E-B6D2-C0059A47C6D4,0
318E3CA6-0DAD-499D-89F3-038A9E113C69,0
EC7F7029-A08E-4D22-B264-8F908FB0F4D3,0
4895BD2C-23CA-4A77-B275-08F60C35BD29,0
C712FE07-78CC-42B6-889F-F9FF1FB8605C,0
66F356C3-0580-43C8-BC36-726852A78335,0
11887DAB-CF6C-407A-908F-9BA596AE719D,0
411887DF-6980-4235-91E6-350F71F6E0A0,0
ADBFE51A-AF0B-41E1-A56D-36EE423CEAF1,0
D44F9675-3BF4-447F-A864-423AC9B1D130,0
985E7DAA-8EBF-47A9-A6D6-604CD969B185,0
25175A24-99BD-4EA5-B21B-FC8BF1C923A4,0
0607EEDF-687A-4467-A2E5-E9DB23FE59DB,0
4505005E-BCF4-4B14-9A21-15F678F3F429,0
0D8085B9-2C71-4BB1-B4C6-6DC2AB703C0F,0
1C362679-39CB-463E-BC4C-A31BF0CCFE74,0
70582174-3D1B-42D1-BBA1-B1F970121EA3,0
46CC0755-CB8D-428A-B7B3-A1FA5FF4E827,0
B9DFE762-A66E-4E3F-9EC4-0BF00DCBF587,0
2D9EBBE5-DFA6-47A2-A21C-518319D9154E,0
D0C8537C-4676-4F00-A916-06759F4D8A69,0
6FE5CB9F-3D02-4890-9D4F-7EF2177FBBF2,0
86DF33BE-95A7-4688-92FF-A409D97C81AE,0
A9BC42F5-9CFA-4A49-A144-2B529275F193,0
2AD197D6-E923-46DB-978C-71B29117AEAC,0
2D900330-A258-47E9-80B2-C6A8D7472F8D,0
D25C8035-066C-44B8-BAC3-57810A4F2161,0
E6E472AF-CD56-4752-BAC4-18EC0EBC3468,0
6BD6D3A2-F491-4EBD-AD36-41C78D1F80C4,0
E8977320-504F-402E-BFB4-C185F835A236,0
93E813F2-93FC-4608-906B-41A2ADD1EE74,0
7A80EA25-8145-4CFB-91B1-C06A0D70DFAF,0
7F6F760C-F021-4C70-94AE-AB5995A8BD28,0
74B702DF-DC54-4479-9B24-CFD329BC59BA,0
7F1B2C07-D378-4238-A6F8-E61BF9110158,0
5345D624-C732-400C-BF40-B95BA4B350E3,0
683F0A95-1A18-4ED5-8E5D-BA4DAC06FE92,0
E5B8B22B-7272-4F5F-8C79-B451EFA1FEED,0
550154A0-BE13-469E-AD6F-006B32CC3A08,0
608615E2-775D-4748-9A5D-E4F8264BCA5D,0
41DC7CFC-CA97-45B8-A8A4-6F18DD9D1365,0
6BC9BD45-3080-47D3-A9E9-0DD47DB26EFF,0
5C489602-1599-4C7D-8E53-1BE6310732B8,0
